"Plot Title: 10767837"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10767837, SEN S/N: 10767837)","Coupler Detached (LGR S/N: 10767837)","Coupler Attached (LGR S/N: 10767837)","Host Connected (LGR S/N: 10767837)","Stopped (LGR S/N: 10767837)","End Of File (LGR S/N: 10767837)"
254,08/13/15 08:06:52 AM,35.782,,,,,
255,08/13/15 09:06:52 AM,37.081,,,,,
256,08/13/15 10:06:52 AM,38.368,,,,,
257,08/13/15 11:06:52 AM,39.173,,,,,
258,08/13/15 12:06:52 PM,39.313,,,,,
259,08/13/15 01:06:52 PM,37.081,,,,,
260,08/13/15 02:06:52 PM,36.891,,,,,
261,08/13/15 03:06:52 PM,37.179,,,,,
262,08/13/15 04:06:52 PM,36.651,,,,,
263,08/13/15 05:06:52 PM,36.361,,,,,
264,08/13/15 06:06:52 PM,35.830,,,,,
265,08/13/15 07:06:52 PM,35.492,,,,,
266,08/13/15 08:06:52 PM,35.492,,,,,
267,08/13/15 09:06:52 PM,35.492,,,,,
268,08/13/15 10:06:52 PM,35.152,,,,,
269,08/13/15 11:06:52 PM,35.200,,,,,
270,08/14/15 12:06:52 AM,35.298,,,,,
271,08/14/15 01:06:52 AM,35.541,,,,,
272,08/14/15 02:06:52 AM,35.541,,,,,
273,08/14/15 03:06:52 AM,35.541,,,,,
274,08/14/15 04:06:52 AM,35.589,,,,,
275,08/14/15 05:06:52 AM,35.395,,,,,
276,08/14/15 06:06:52 AM,35.685,,,,,
277,08/14/15 07:06:52 AM,35.928,,,,,
278,08/14/15 08:06:52 AM,36.072,,,,,
279,08/14/15 09:06:52 AM,36.459,,,,,
280,08/14/15 10:06:52 AM,36.459,,,,,
281,08/14/15 11:06:52 AM,36.410,,,,,
282,08/14/15 12:06:52 PM,36.266,,,,,
283,08/14/15 01:06:52 PM,36.266,,,,,
284,08/14/15 02:06:52 PM,36.986,,,,,
285,08/14/15 03:06:52 PM,38.226,,,,,
286,08/14/15 04:06:52 PM,37.609,,,,,
287,08/14/15 05:06:52 PM,36.747,,,,,
288,08/14/15 06:06:52 PM,36.217,,,,,
289,08/14/15 07:06:52 PM,36.072,,,,,
290,08/14/15 08:06:52 PM,36.217,,,,,
291,08/14/15 09:06:52 PM,36.459,,,,,
292,08/14/15 10:06:52 PM,35.589,,,,,
293,08/14/15 11:06:52 PM,35.685,,,,,
294,08/15/15 12:06:52 AM,35.879,,,,,
295,08/15/15 01:06:52 AM,35.685,,,,,
296,08/15/15 02:06:52 AM,35.782,,,,,
297,08/15/15 03:06:52 AM,35.685,,,,,
298,08/15/15 04:06:52 AM,35.541,,,,,
299,08/15/15 05:06:52 AM,35.492,,,,,
300,08/15/15 06:06:52 AM,35.492,,,,,
301,08/15/15 07:06:52 AM,35.492,,,,,
302,08/15/15 08:06:52 AM,35.492,,,,,
303,08/15/15 09:06:52 AM,36.169,,,,,
304,08/15/15 10:06:52 AM,36.842,,,,,
305,08/15/15 11:06:52 AM,37.225,,,,,
306,08/15/15 12:06:52 PM,37.513,,,,,
307,08/15/15 01:06:52 PM,37.751,,,,,
308,08/15/15 02:06:52 PM,37.416,,,,,
309,08/15/15 03:06:52 PM,36.603,,,,,
310,08/15/15 04:06:52 PM,36.072,,,,,
311,08/15/15 05:06:52 PM,35.200,,,,,
312,08/15/15 06:06:52 PM,35.103,,,,,
313,08/15/15 07:06:52 PM,35.055,,,,,
314,08/15/15 08:06:52 PM,34.664,,,,,
315,08/15/15 09:06:52 PM,34.371,,,,,
316,08/15/15 10:06:52 PM,34.516,,,,,
317,08/15/15 11:06:52 PM,34.565,,,,,
318,08/16/15 12:06:52 AM,34.664,,,,,
319,08/16/15 01:06:52 AM,34.516,,,,,
320,08/16/15 02:06:52 AM,34.419,,,,,
321,08/16/15 03:06:52 AM,34.320,,,,,
322,08/16/15 04:06:52 AM,34.371,,,,,
323,08/16/15 05:06:52 AM,34.419,,,,,
324,08/16/15 06:06:52 AM,34.371,,,,,
325,08/16/15 07:06:52 AM,34.272,,,,,
326,08/16/15 08:06:52 AM,34.468,,,,,
327,08/16/15 09:06:52 AM,35.733,,,,,
328,08/16/15 10:06:52 AM,36.891,,,,,
329,08/16/15 11:06:52 AM,37.225,,,,,
330,08/16/15 12:06:52 PM,37.513,,,,,
331,08/16/15 01:06:52 PM,37.416,,,,,
332,08/16/15 02:06:52 PM,37.274,,,,,
