"ï»¿""Plot Title: 10972588""",,,,,,
#,"Date Time, GMT-06:00","Temp, Â°C (LGR S/N: 10972588, SEN S/N: 10972588)",Coupler Detached (LGR S/N: 10972588),End Of File (LGR S/N: 10972588),,
627,7/31/16 21:28,16.654,,,,
628,7/31/16 21:43,16.058,,,,
629,7/31/16 21:58,15.438,,,,
630,7/31/16 22:13,14.936,,,,
631,7/31/16 22:28,14.409,,,,
632,7/31/16 22:43,13.978,,,,
633,7/31/16 22:58,13.714,,,,
634,7/31/16 23:13,13.522,,,,
635,7/31/16 23:28,13.233,,,,
636,7/31/16 23:43,13.04,,,,
637,7/31/16 23:58,12.847,,,,
638,8/1/16 0:13,12.654,,,,
639,8/1/16 0:28,12.437,,,,
640,8/1/16 0:43,12.195,,,,
641,8/1/16 0:58,12.098,,,,
642,8/1/16 1:13,11.977,,,,
643,8/1/16 1:28,11.904,,,,
644,8/1/16 1:43,11.88,,,,
645,8/1/16 1:58,11.807,,,,
646,8/1/16 2:13,11.71,,,,
647,8/1/16 2:28,11.492,,,,
648,8/1/16 2:43,11.321,,,,
649,8/1/16 2:58,11.224,,,,
650,8/1/16 3:13,11.029,,,,
651,8/1/16 3:28,10.858,,,,
652,8/1/16 3:43,10.687,,,,
653,8/1/16 3:58,10.418,,,,
654,8/1/16 4:13,10.32,,,,
655,8/1/16 4:28,10.173,,,,
656,8/1/16 4:43,10.1,,,,
657,8/1/16 4:58,10.026,,,,
658,8/1/16 5:13,9.78,,,,
659,8/1/16 5:28,9.46,,,,
660,8/1/16 5:43,9.139,,,,
661,8/1/16 5:58,8.792,,,,
662,8/1/16 6:13,8.543,,,,
663,8/1/16 6:28,8.295,,,,
664,8/1/16 6:43,8.095,,,,
665,8/1/16 6:58,7.97,,,,
666,8/1/16 7:13,7.995,,,,
667,8/1/16 7:28,7.92,,,,
668,8/1/16 7:43,7.92,,,,
669,8/1/16 7:58,8.045,,,,
670,8/1/16 8:13,8.27,,,,
671,8/1/16 8:28,8.767,,,,
672,8/1/16 8:43,8.965,,,,
673,8/1/16 8:58,9.238,,,,
674,8/1/16 9:13,9.805,,,,
675,8/1/16 9:28,10.858,,,,
676,8/1/16 9:43,11.977,,,,
