"ï»¿""Plot Title: 20155861""",,,,,,,
#,"Date Time, GMT-06:00","Temp, Â°C (LGR S/N: 20155861, SEN S/N: 20155861)",Coupler Detached (LGR S/N: 20155861),Coupler Attached (LGR S/N: 20155861),Host Connected (LGR S/N: 20155861),Stopped (LGR S/N: 20155861),End Of File (LGR S/N: 20155861)
501,08/26/17 03:59 PM,10.492,,,,,
502,08/26/17 04:59 PM,9.485,,,,,
503,08/26/17 05:59 PM,7.72,,,,,
504,08/26/17 06:59 PM,5.36,,,,,
505,08/26/17 07:59 PM,4.402,,,,,
506,08/26/17 08:59 PM,3.749,,,,,
507,08/26/17 09:59 PM,3.354,,,,,
508,08/26/17 10:59 PM,3.142,,,,,
509,08/26/17 11:59 PM,2.983,,,,,
510,08/27/17 12:59 AM,2.877,,,,,
511,08/27/17 01:59 AM,2.797,,,,,
512,08/27/17 02:59 AM,2.69,,,,,
513,08/27/17 03:59 AM,2.584,,,,,
514,08/27/17 04:59 AM,2.53,,,,,
515,08/27/17 05:59 AM,2.45,,,,,
516,08/27/17 06:59 AM,2.423,,,,,
517,08/27/17 07:59 AM,2.637,,,,,
518,08/27/17 08:59 AM,4.246,,,,,
519,08/27/17 09:59 AM,6.408,,,,,
520,08/27/17 10:59 AM,8.494,,,,,
521,08/27/17 11:59 AM,10.173,,,,,
522,08/27/17 12:59 PM,11.346,,,,,
523,08/27/17 01:59 PM,11.977,,,,,
524,08/27/17 02:59 PM,12.074,,,,,
525,08/27/17 03:59 PM,11.565,,,,,
526,08/27/17 04:59 PM,10.443,,,,,
527,08/27/17 05:59 PM,8.643,,,,,
528,08/27/17 06:59 PM,6.306,,,,,
529,08/27/17 07:59 PM,5.308,,,,,
530,08/27/17 08:59 PM,4.636,,,,,
531,08/27/17 09:59 PM,4.272,,,,,
532,08/27/17 10:59 PM,4.011,,,,,
533,08/27/17 11:59 PM,3.801,,,,,
534,08/28/17 12:59 AM,3.564,,,,,
535,08/28/17 01:59 AM,3.38,,,,,
536,08/28/17 02:59 AM,3.248,,,,,
537,08/28/17 03:59 AM,3.116,,,,,
538,08/28/17 04:59 AM,2.956,,,,,
539,08/28/17 05:59 AM,2.823,,,,,
540,08/28/17 06:59 AM,2.797,,,,,
541,08/28/17 07:59 AM,2.956,,,,,
542,08/28/17 08:59 AM,4.506,,,,,
543,08/28/17 09:59 AM,6.763,,,,,
544,08/28/17 10:59 AM,8.817,,,,,
545,08/28/17 11:59 AM,10.173,,,,,
546,08/28/17 12:59 PM,11.54,,,,,
547,08/28/17 01:59 PM,12.171,,,,,
548,08/28/17 02:59 PM,12.461,,,,,
549,08/28/17 03:59 PM,12.025,,,,,
550,08/28/17 04:59 PM,10.492,,,,,
551,08/28/17 05:59 PM,8.742,,,,,
552,08/28/17 06:59 PM,6.585,,,,,
553,08/28/17 07:59 PM,5.539,,,,,
554,08/28/17 08:59 PM,4.869,,,,,
555,08/28/17 09:59 PM,4.48,,,,,
