Plot Title: 10972590,,,,,,,
#,"Date Time, GMT-06:00","Temp, ∞C (LGR S/N: 10972590, SEN S/N: 10972590)",Coupler Detached (LGR S/N: 10972590),Coupler Attached (LGR S/N: 10972590),Host Connected (LGR S/N: 10972590),Stopped (LGR S/N: 10972590),End Of File (LGR S/N: 10972590)
333,08/16/18/ 03:24:00 AM,1.398,,,,,
334,08/16/18/ 04:24:00 AM,1.398,,,,,
335,08/16/18/ 05:24:00 AM,1.398,,,,,
336,08/16/18/ 06:24:00 AM,1.398,,,,,
337,08/16/18/ 07:24:00 AM,1.425,,,,,
338,08/16/18/ 08:24:00 AM,1.561,,,,,
339,08/16/18/ 09:24:00 AM,1.697,,,,,
340,08/16/18/ 10:24:00 AM,1.967,,,,,
341,08/16/18/ 11:24:00 AM,1.94,,,,,
342,08/16/18/ 12:24:00 PM,2.155,,,,,
343,08/16/18/ 01:24:00 PM,2.262,,,,,
344,08/16/18/ 02:24:00 PM,2.155,,,,,
345,08/16/18/ 03:24:00 PM,2.021,,,,,
346,08/16/18/ 04:24:00 PM,1.886,,,,,
347,08/16/18/ 05:24:00 PM,1.724,,,,,
348,08/16/18/ 06:24:00 PM,1.724,,,,,
349,08/16/18/ 07:24:00 PM,1.67,,,,,
350,08/16/18/ 08:24:00 PM,1.615,,,,,
351,08/16/18/ 09:24:00 PM,1.588,,,,,
352,08/16/18/ 10:24:00 PM,1.588,,,,,
353,08/16/18/ 11:24:00 PM,1.561,,,,,
354,08/17/18/ 12:24:00 AM,1.561,,,,,
355,08/17/18/ 01:24:00 AM,1.561,,,,,
356,08/17/18/ 02:24:00 AM,1.561,,,,,
357,08/17/18/ 03:24:00 AM,1.507,,,,,
358,08/17/18/ 04:24:00 AM,1.48,,,,,
359,08/17/18/ 05:24:00 AM,1.48,,,,,
360,08/17/18/ 06:24:00 AM,1.453,,,,,
361,08/17/18/ 07:24:00 AM,1.507,,,,,
362,08/17/18/ 08:24:00 AM,1.588,,,,,
363,08/17/18/ 09:24:00 AM,1.832,,,,,
364,08/17/18/ 10:24:00 AM,2.074,,,,,
365,08/17/18/ 11:24:00 AM,2.343,,,,,
366,08/17/18/ 12:24:00 PM,2.396,,,,,
367,08/17/18/ 01:24:00 PM,2.316,,,,,
368,08/17/18/ 02:24:00 PM,2.262,,,,,
369,08/17/18/ 03:24:00 PM,2.155,,,,,
370,08/17/18/ 04:24:00 PM,1.886,,,,,
371,08/17/18/ 05:24:00 PM,1.805,,,,,
372,08/17/18/ 06:24:00 PM,1.697,,,,,
373,08/17/18/ 07:24:00 PM,1.643,,,,,
374,08/17/18/ 08:24:00 PM,1.724,,,,,
375,08/17/18/ 09:24:00 PM,1.697,,,,,
376,08/17/18/ 10:24:00 PM,1.697,,,,,
377,08/17/18/ 11:24:00 PM,1.588,,,,,
378,08/18/18/ 12:24:00 AM,1.561,,,,,
379,08/18/18/ 01:24:00 AM,1.561,,,,,
380,08/18/18/ 02:24:00 AM,1.534,,,,,
381,08/18/18/ 03:24:00 AM,1.507,,,,,
382,08/18/18/ 04:24:00 AM,1.48,,,,,
383,08/18/18/ 05:24:00 AM,1.453,,,,,
384,08/18/18/ 06:24:00 AM,1.453,,,,,
385,08/18/18/ 07:24:00 AM,1.507,,,,,
386,08/18/18/ 08:24:00 AM,1.588,,,,,
387,08/18/18/ 09:24:00 AM,1.778,,,,,
388,08/18/18/ 10:24:00 AM,2.074,,,,,
389,08/18/18/ 11:24:00 AM,2.021,,,,,
390,08/18/18/ 12:24:00 PM,2.155,,,,,
391,08/18/18/ 01:24:00 PM,1.94,,,,,
392,08/18/18/ 02:24:00 PM,1.886,,,,,
393,08/18/18/ 03:24:00 PM,1.994,,,,,
394,08/18/18/ 04:24:00 PM,1.778,,,,,
395,08/18/18/ 05:24:00 PM,1.643,,,,,
396,08/18/18/ 06:24:00 PM,1.67,,,,,
397,08/18/18/ 07:24:00 PM,1.643,,,,,
398,08/18/18/ 08:24:00 PM,1.588,,,,,
399,08/18/18/ 09:24:00 PM,1.507,,,,,
400,08/18/18/ 10:24:00 PM,1.507,,,,,
401,08/18/18/ 11:24:00 PM,1.507,,,,,
402,08/19/18/ 12:24:00 AM,1.507,,,,,
403,08/19/18/ 01:24:00 AM,1.507,,,,,
404,08/19/18/ 02:24:00 AM,1.507,,,,,
405,08/19/18/ 03:24:00 AM,1.507,,,,,
406,08/19/18/ 04:24:00 AM,1.453,,,,,
407,08/19/18/ 05:24:00 AM,1.453,,,,,
408,08/19/18/ 06:24:00 AM,1.425,,,,,
409,08/19/18/ 07:24:00 AM,1.425,,,,,
410,08/19/18/ 08:24:00 AM,1.534,,,,,
411,08/19/18/ 09:24:00 AM,1.724,,,,,
412,08/19/18/ 10:24:00 AM,2.021,,,,,
413,08/19/18/ 11:24:00 AM,2.289,,,,,
414,08/19/18/ 12:24:00 PM,2.37,,,,,
415,08/19/18/ 01:24:00 PM,2.289,,,,,
416,08/19/18/ 02:24:00 PM,1.832,,,,,
417,08/19/18/ 03:24:00 PM,1.886,,,,,
418,08/19/18/ 04:24:00 PM,1.805,,,,,
419,08/19/18/ 05:24:00 PM,1.697,,,,,
420,08/19/18/ 06:24:00 PM,1.615,,,,,
421,08/19/18/ 07:24:00 PM,1.561,,,,,
422,08/19/18/ 08:24:00 PM,1.534,,,,,
423,08/19/18/ 09:24:00 PM,1.507,,,,,
424,08/19/18/ 10:24:00 PM,1.507,,,,,
425,08/19/18/ 11:24:00 PM,1.48,,,,,
426,08/20/18/ 12:24:00 AM,1.48,,,,,
427,08/20/18/ 01:24:00 AM,1.453,,,,,
428,08/20/18/ 02:24:00 AM,1.453,,,,,
429,08/20/18/ 03:24:00 AM,1.425,,,,,
430,08/20/18/ 04:24:00 AM,1.425,,,,,
431,08/20/18/ 05:24:00 AM,1.425,,,,,
432,08/20/18/ 06:24:00 AM,1.398,,,,,
433,08/20/18/ 07:24:00 AM,1.425,,,,,
434,08/20/18/ 08:24:00 AM,1.534,,,,,
435,08/20/18/ 09:24:00 AM,1.751,,,,,
436,08/20/18/ 10:24:00 AM,1.751,,,,,
437,08/20/18/ 11:24:00 AM,1.67,,,,,
438,08/20/18/ 12:24:00 PM,1.643,,,,,
439,08/20/18/ 01:24:00 PM,2.155,,,,,
440,08/20/18/ 02:24:00 PM,1.751,,,,,
441,08/20/18/ 03:24:00 PM,1.643,,,,,
442,08/20/18/ 04:24:00 PM,1.751,,,,,
443,08/20/18/ 05:24:00 PM,1.67,,,,,
444,08/20/18/ 06:24:00 PM,1.561,,,,,
445,08/20/18/ 07:24:00 PM,1.507,,,,,
446,08/20/18/ 08:24:00 PM,1.561,,,,,
447,08/20/18/ 09:24:00 PM,1.561,,,,,
448,08/20/18/ 10:24:00 PM,1.507,,,,,
449,08/20/18/ 11:24:00 PM,1.48,,,,,
450,08/21/18/ 12:24:00 AM,1.48,,,,,
451,08/21/18/ 01:24:00 AM,1.48,,,,,
452,08/21/18/ 02:24:00 AM,1.453,,,,,
453,08/21/18/ 03:24:00 AM,1.507,,,,,
454,08/21/18/ 04:24:00 AM,1.507,,,,,
455,08/21/18/ 05:24:00 AM,1.48,,,,,
456,08/21/18/ 06:24:00 AM,1.453,,,,,
457,08/21/18/ 07:24:00 AM,1.453,,,,,
458,08/21/18/ 08:24:00 AM,1.561,,,,,
459,08/21/18/ 09:24:00 AM,1.832,,,,,
460,08/21/18/ 10:24:00 AM,2.074,,,,,
461,08/21/18/ 11:24:00 AM,2.396,,,,,
462,08/21/18/ 12:24:00 PM,2.45,,,,,
463,08/21/18/ 01:24:00 PM,2.396,,,,,
464,08/21/18/ 02:24:00 PM,2.209,,,,,
465,08/21/18/ 03:24:00 PM,1.994,,,,,
466,08/21/18/ 04:24:00 PM,1.697,,,,,
467,08/21/18/ 05:24:00 PM,1.615,,,,,
468,08/21/18/ 06:24:00 PM,1.561,,,,,
469,08/21/18/ 07:24:00 PM,1.507,,,,,
470,08/21/18/ 08:24:00 PM,1.507,,,,,
471,08/21/18/ 09:24:00 PM,1.48,,,,,
472,08/21/18/ 10:24:00 PM,1.453,,,,,
473,08/21/18/ 11:24:00 PM,1.425,,,,,
474,08/22/18/ 12:24:00 AM,1.425,,,,,
475,08/22/18/ 01:24:00 AM,1.453,,,,,
476,08/22/18/ 02:24:00 AM,1.453,,,,,
