"ï»¿""Plot Title: 20155861""",,,,,,,,
#,"Date Time, GMT-06:00","Temp, Â°C (LGR S/N: 20155861, SEN S/N: 20155861)",Coupler Detached (LGR S/N: 20155861),Coupler Attached (LGR S/N: 20155861),Host Connected (LGR S/N: 20155861),Stopped (LGR S/N: 20155861),End Of File (LGR S/N: 20155861),
457,8/24/2017 19:59,4.844,,,,,,
458,8/24/2017 20:59,4.48,,,,,,
459,8/24/2017 21:59,4.037,,,,,,
460,8/24/2017 22:59,3.538,,,,,,
461,8/24/2017 23:59,3.459,,,,,,
462,8/25/2017 0:59,3.617,,,,,,
463,8/25/2017 1:59,3.248,,,,,,
464,8/25/2017 2:59,2.93,,,,,,
465,8/25/2017 3:59,2.69,,,,,,
466,8/25/2017 4:59,2.744,,,,,,
467,8/25/2017 5:59,2.423,,,,,,
468,8/25/2017 6:59,2.37,,,,,,
469,8/25/2017 7:59,2.69,,,,,,
470,8/25/2017 8:59,3.749,,,,,,
471,8/25/2017 9:59,4.141,,,,,,
472,8/25/2017 10:59,5.282,,,,,,
473,8/25/2017 11:59,6.788,,,,,,
474,8/25/2017 12:59,6.535,,,,,,
475,8/25/2017 13:59,9.188,,,,,,
476,8/25/2017 14:59,8.717,,,,,,
477,8/25/2017 15:59,9.657,,,,,,
478,8/25/2017 16:59,8.767,,,,,,
479,8/25/2017 17:59,7.343,,,,,,
480,8/25/2017 18:59,5.642,,,,,,
481,8/25/2017 19:59,4.662,,,,,,
482,8/25/2017 20:59,3.88,,,,,,
483,8/25/2017 21:59,3.512,,,,,,
484,8/25/2017 22:59,3.274,,,,,,
485,8/25/2017 23:59,3.168,,,,,,
486,8/26/2017 0:59,3.221,,,,,,
487,8/26/2017 1:59,3.221,,,,,,
488,8/26/2017 2:59,3.116,,,,,,
489,8/26/2017 3:59,3.009,,,,,,
490,8/26/2017 4:59,2.903,,,,,,
491,8/26/2017 5:59,2.797,,,,,,
492,8/26/2017 6:59,2.797,,,,,,
493,8/26/2017 7:59,2.93,,,,,,
494,8/26/2017 8:59,4.532,,,,,,
495,8/26/2017 9:59,6.458,,,,,,
496,8/26/2017 10:59,8.195,,,,,,
497,8/26/2017 11:59,9.632,,,,,,
498,8/26/2017 12:59,10.638,,,,,,
499,8/26/2017 13:59,11.078,,,,,,
500,8/26/2017 14:59,11.102,,,,,,
501,8/26/2017 15:59,10.492,,,,,,
502,8/26/2017 16:59,9.485,,,,,,
503,8/26/2017 17:59,7.72,,,,,,
504,8/26/2017 18:59,5.36,,,,,,
505,8/26/2017 19:59,4.402,,,,,,
506,8/26/2017 20:59,3.749,,,,,,
507,8/26/2017 21:59,3.354,,,,,,
508,8/26/2017 22:59,3.142,,,,,,
509,8/26/2017 23:59,2.983,,,,,,
510,8/27/2017 0:59,2.877,,,,,,
511,8/27/2017 1:59,2.797,,,,,,
512,8/27/2017 2:59,2.69,,,,,,
513,8/27/2017 3:59,2.584,,,,,,
514,8/27/2017 4:59,2.53,,,,,,
515,8/27/2017 5:59,2.45,,,,,,
516,8/27/2017 6:59,2.423,,,,,,
517,8/27/2017 7:59,2.637,,,,,,
518,8/27/2017 8:59,4.246,,,,,,
519,8/27/2017 9:59,6.408,,,,,,
520,8/27/2017 10:59,8.494,,,,,,
521,8/27/2017 11:59,10.173,,,,,,
522,8/27/2017 12:59,11.346,,,,,,
523,8/27/2017 13:59,11.977,,,,,,
524,8/27/2017 14:59,12.074,,,,,,
525,8/27/2017 15:59,11.565,,,,,,
526,8/27/2017 16:59,10.443,,,,,,
527,8/27/2017 17:59,8.643,,,,,,
528,8/27/2017 18:59,6.306,,,,,,
529,8/27/2017 19:59,5.308,,,,,,
530,8/27/2017 20:59,4.636,,,,,,
531,8/27/2017 21:59,4.272,,,,,,
532,8/27/2017 22:59,4.011,,,,,,
533,8/27/2017 23:59,3.801,,,,,,
534,8/28/2017 0:59,3.564,,,,,,
535,8/28/2017 1:59,3.38,,,,,,
536,8/28/2017 2:59,3.248,,,,,,
537,8/28/2017 3:59,3.116,,,,,,
538,8/28/2017 4:59,2.956,,,,,,
539,8/28/2017 5:59,2.823,,,,,,
540,8/28/2017 6:59,2.797,,,,,,
541,8/28/2017 7:59,2.956,,,,,,
542,8/28/2017 8:59,4.506,,,,,,
543,8/28/2017 9:59,6.763,,,,,,
544,8/28/2017 10:59,8.817,,,,,,
545,8/28/2017 11:59,10.173,,,,,,
546,8/28/2017 12:59,11.54,,,,,,
547,8/28/2017 13:59,12.171,,,,,,
548,8/28/2017 14:59,12.461,,,,,,
549,8/28/2017 15:59,12.025,,,,,,
550,8/28/2017 16:59,10.492,,,,,,
551,8/28/2017 17:59,8.742,,,,,,
552,8/28/2017 18:59,6.585,,,,,,
553,8/28/2017 19:59,5.539,,,,,,
554,8/28/2017 20:59,4.869,,,,,,
555,8/28/2017 21:59,4.48,,,,,,
556,8/28/2017 22:59,4.194,,,,,,
557,8/28/2017 23:59,3.985,,,,,,
558,8/29/2017 0:59,3.801,,,,,,
559,8/29/2017 1:59,3.643,,,,,,
560,8/29/2017 2:59,3.643,,,,,,
561,8/29/2017 3:59,3.591,,,,,,
562,8/29/2017 4:59,3.433,,,,,,
563,8/29/2017 5:59,3.274,,,,,,
564,8/29/2017 6:59,3.221,,,,,,
565,8/29/2017 7:59,3.67,,,,,,
566,8/29/2017 8:59,5.282,,,,,,
567,8/29/2017 9:59,6.687,,,,,,
568,8/29/2017 10:59,8.792,,,,,,
569,8/29/2017 11:59,10.858,,,,,,
570,8/29/2017 12:59,10.858,,,,,,
571,8/29/2017 13:59,7.318,,,,,,
572,8/29/2017 14:59,11.589,,,,,,
573,8/29/2017 15:59,11.637,,,,,,
574,8/29/2017 16:59,8.891,,,,,,
575,8/29/2017 17:59,8.693,,,,,,
576,8/29/2017 18:59,6.839,,,,,,
577,8/29/2017 19:59,5.565,,,,,,
578,8/29/2017 20:59,5.282,,,,,,
